,prefCode,cityCode,cityName,cityAlphabet,latitude,longitude,bigCityFlag
165,1,01636,上川郡清水町,Kamikawa-gun Shimizu-cho,42.879327,142.887027,0
166,1,01637,河西郡芽室町,Kasai-gun Memuro-cho,42.739568,142.931005,0
167,1,01638,河西郡中札内村,Kasai-gun Nakasatsunai-mura,42.699827,143.133431,0
168,1,01639,河西郡更別村,Kasai-gun Sarabetsu-mura,42.606423,143.244889,0
169,1,01641,広尾郡大樹町,Hiro-gun Taiki-cho,42.489955,143.27524,0
170,1,01642,広尾郡広尾町,Hiro-gun Hiro-cho,42.370589,143.358005,0
171,1,01643,中川郡幕別町,Nakagawa-gun Makubetsu-cho,42.921574,143.336918,0
172,1,01644,中川郡池田町,Nakagawa-gun Ikeda-cho,42.980849,143.40831,0
173,1,01645,中川郡豊頃町,Nakagawa-gun Toyokoro-cho,42.762846,143.545833,0
174,1,01646,中川郡本別町,Nakagawa-gun Hombetsu-cho,43.123851,143.614668,0
175,1,01647,足寄郡足寄町,Ashoro-gun Ashoro-cho,43.293784,143.571268,0
176,1,01648,足寄郡陸別町,Ashoro-gun Rikubetsu-cho,43.469336,143.782572,0
177,1,01649,十勝郡浦幌町,Tokachi-gun Urahoro-cho,42.740969,143.605816,0
178,1,01661,釧路郡釧路町,Kushiro-gun Kushiro-cho,43.012964,144.408303,0
179,1,01662,厚岸郡厚岸町,Akkeshi-gun Akkeshi-cho,43.023055,144.842425,0
180,1,01663,厚岸郡浜中町,Akkeshi-gun Hamanaka-cho,43.142463,145.184848,0
181,1,01664,川上郡標茶町,Kawakami-gun Shibecha-cho,43.117955,144.630061,0
182,1,01665,川上郡弟子屈町,Kawakami-gun Teshikaga-cho,43.610507,144.456936,0
183,1,01667,阿寒郡鶴居村,Akan-gun Tsurui-mura,43.092401,144.306244,0
184,1,01668,白糠郡白糠町,Shiranuka-gun Shiranuka-cho,43.006523,144.052284,0
185,1,01691,野付郡別海町,Notsuke-gun Betsukai-cho,43.393788,144.707204,0
186,1,01692,標津郡中標津町,Shibetsu-gun Nakashibetsu-cho,43.540284,144.908841,0
187,1,01693,標津郡標津町,Shibetsu-gun Shibetsu-cho,43.680797,145.104109,0
188,1,01694,目梨郡羅臼町,Menashi-gun Rausu-cho,44.186819,145.317394,0
189,2,02201,青森市,Aomori-shi,40.805836,140.743053,0
190,2,02202,弘前市,Hirosaki-shi,40.534219,140.371043,0
191,2,02203,八戸市,Hachinohe-shi,40.50908,141.511275,0
192,2,02204,黒石市,Kuroishi-shi,40.66294,140.602483,0
193,2,02205,五所川原市,Goshogawara-shi,41.058497,140.35717,0
194,2,02206,十和田市,Towada-shi,40.629777,141.227744,0
195,2,02207,三沢市,Misawa-shi,40.767701,141.372083,0
196,2,02208,むつ市,Mutsu-shi,41.267566,141.212019,0
197,2,02209,つがる市,Tsugaru-shi,40.915836,140.404746,0
198,2,02210,平川市,Hirakawa-shi,40.602096,140.568429,0
199,2,02301,東津軽郡平内町,Higashitsugaru-gun Hiranai-machi,40.948022,140.964823,0
200,2,02303,東津軽郡今別町,Higashitsugaru-gun Imabetsu-machi,41.167818,140.480629,0
201,2,02304,東津軽郡蓬田村,Higashitsugaru-gun Yomogita-mura,40.97197,140.623654,0
202,2,02307,東津軽郡外ケ浜町,Higashitsugaru-gun Sotogahama-machi,41.03863,140.640529,0
203,2,02321,西津軽郡鰺ヶ沢町,Nishitsugaru-gun Ajigasawa-machi,40.765644,140.179881,0
204,2,02323,西津軽郡深浦町,Nishitsugaru-gun Fukaura-machi,40.709276,140.111405,0
205,2,02343,中津軽郡西目屋村,Nakatsugaru-gun Nishimeya-mura,40.535049,140.267796,0
206,2,02361,南津軽郡藤崎町,Minamitsugaru-gun Fujisaki-machi,40.693127,140.513657,0
207,2,02362,南津軽郡大鰐町,Minamitsugaru-gun Owani-machi,40.49372,140.529435,0
208,2,02367,南津軽郡田舎館村,Minamitsugaru-gun Inakadate-mura,40.65401,140.531232,0
209,2,02381,北津軽郡板柳町,Kitatsugaru-gun Itayanagi-machi,40.7017,140.463703,0
210,2,02384,北津軽郡鶴田町,Kitatsugaru-gun Tsuruta-machi,40.781417,140.423672,0
211,2,02387,北津軽郡中泊町,Kitatsugaru-gun Nakadomari-machi,40.944992,140.405878,0
212,2,02401,上北郡野辺地町,Kamikita-gun Noheji-machi,40.864448,141.133531,0
213,2,02402,上北郡七戸町,Kamikita-gun Shichinohe-machi,40.753548,141.248806,0
214,2,02405,上北郡六戸町,Kamikita-gun Rokunohe-machi,40.648177,141.328661,0
215,2,02406,上北郡横浜町,Kamikita-gun Yokohama-machi,41.059074,141.255139,0
216,2,02408,上北郡東北町,Kamikita-gun Tohoku-machi,40.767315,141.215255,0
217,2,02411,上北郡六ヶ所村,Kamikita-gun Rokkasho-mura,40.974671,141.349127,0
218,2,02412,上北郡おいらせ町,Kamikita-gun Oirase-cho,40.649433,141.367222,0
219,2,02423,下北郡大間町,Shimokita-gun Oma-machi,41.527021,140.920337,0
220,2,02424,下北郡東通村,Shimokita-gun Higashidori-mura,41.370926,141.397036,0
221,2,02425,下北郡風間浦村,Shimokita-gun Kazamaura-mura,41.477571,141.006357,0
222,2,02426,下北郡佐井村,Shimokita-gun Sai-mura,41.403862,140.882932,0
223,2,02441,三戸郡三戸町,Sannohe-gun Sannohe-machi,40.385128,141.292375,0
224,2,02442,三戸郡五戸町,Sannohe-gun Gonohe-machi,40.545274,141.333456,0
225,2,02443,三戸郡田子町,Sannohe-gun Takko-machi,40.296519,141.084867,0
226,2,02445,三戸郡南部町,Sannohe-gun Nambu-cho,40.443165,141.292302,0
227,2,02446,三戸郡階上町,Sannohe-gun Hashikami-cho,40.443771,141.61063,0
228,2,02450,三戸郡新郷村,Sannohe-gun Shingo-mura,40.432988,141.183343,0
229,3,03201,盛岡市,Morioka-shi,39.721677,141.11318,0
230,3,03202,宮古市,Miyako-shi,39.584141,141.971273,0
231,3,03203,大船渡市,Ofunato-shi,39.057747,141.75258,0
232,3,03205,花巻市,Hanamaki-shi,39.405529,141.114177,0
233,3,03206,北上市,Kitakami-shi,39.249061,141.091612,0
234,3,03207,久慈市,Kuji-shi,40.201584,141.777466,0
235,3,03208,遠野市,Tono-shi,39.31283,141.560188,0
236,3,03209,一関市,Ichinoseki-shi,38.929515,141.12729,0
237,3,03210,陸前高田市,Rikuzentakata-shi,38.997881,141.693076,0
238,3,03211,釜石市,Kamaishi-shi,39.268121,141.860047,0
239,3,03213,二戸市,Ninohe-shi,40.243094,141.215237,0
240,3,03214,八幡平市,Hachimantai-shi,40.119321,140.940422,0
241,3,03215,奥州市,Oshu-shi,39.091826,141.054452,0
242,3,03216,滝沢市,Takizawa-shi,39.743192,141.107387,0
243,3,03301,岩手郡雫石町,Iwate-gun Shizukuishi-cho,39.700293,141.021876,0
244,3,03302,岩手郡葛巻町,Iwate-gun Kuzumaki-machi,39.978636,141.509963,0
245,3,03303,岩手郡岩手町,Iwate-gun Iwate-machi,40.007751,141.225631,0
246,3,03321,紫波郡紫波町,Shiwa-gun Shiwa-cho,39.537107,141.246917,0
247,3,03322,紫波郡矢巾町,Shiwa-gun Yahaba-cho,39.593781,141.170698,0
248,3,03366,和賀郡西和賀町,Waga-gun Nishiwaga-machi,39.339409,140.753187,0
249,3,03381,胆沢郡金ケ崎町,Isawa-gun Kanegasaki-cho,39.158154,140.972985,0
250,3,03402,西磐井郡平泉町,Nishiiwai-gun Hiraizumi-cho,38.990173,141.155797,0
251,3,03441,気仙郡住田町,Kesen-gun Sumita-cho,39.218929,141.631505,0
252,3,03461,上閉伊郡大槌町,Kamihei-gun Otsuchi-cho,39.370512,141.888831,0
253,3,03482,下閉伊郡山田町,Shimohei-gun Yamada-machi,39.539248,141.835275,0
254,3,03483,下閉伊郡岩泉町,Shimohei-gun Iwaizumi-cho,39.809125,141.711972,0
255,3,03484,下閉伊郡田野畑村,Shimohei-gun Tanohata-mura,39.957441,141.915631,0
256,3,03485,下閉伊郡普代村,Shimohei-gun Fudai-mura,39.983932,141.882658,0
257,3,03501,九戸郡軽米町,Kunohe-gun Karumai-machi,40.281907,141.406712,0
258,3,03503,九戸郡野田村,Kunohe-gun Noda-mura,40.052976,141.815543,0
259,3,03506,九戸郡九戸村,Kunohe-gun Kunohe-mura,40.191643,141.424756,0
260,3,03507,九戸郡洋野町,Kunohe-gun Hirono-cho,40.27003,141.718804,0
261,3,03524,二戸郡一戸町,Ninohe-gun Ichinohe-machi,40.161251,141.336756,0
262,4,04100,仙台市,Sendai-shi,38.1608,140.5219,2
263,4,04101,仙台市青葉区,Sendai-shi Aoba-ku,38.26529,140.85976,1
264,4,04102,仙台市宮城野区,Sendai-shi Miyagino-ku,38.274396,140.914852,1
265,4,04103,仙台市若林区,Sendai-shi Wakabayashi-ku,38.24769,140.899379,1
266,4,04104,仙台市太白区,Sendai-shi Taihaku-ku,38.234756,140.83817,1
267,4,04105,仙台市泉区,Sendai-shi Izumi-ku,38.320467,140.870928,1
268,4,04202,石巻市,Ishinomaki-shi,38.521624,141.469946,0
269,4,04203,塩竈市,Shiogama-shi,38.329819,141.01314,0
270,4,04205,気仙沼市,Kesennuma-shi,38.911353,141.547413,0
271,4,04206,白石市,Shiroishi-shi,38.00475,140.621345,0
272,4,04207,名取市,Natori-shi,38.16315,140.877432,0
273,4,04208,角田市,Kakuda-shi,38.004172,140.774591,0
274,4,04209,多賀城市,Tagajo-shi,38.294393,141.032195,0
275,4,04211,岩沼市,Iwanuma-shi,38.099098,140.854674,0
276,4,04212,登米市,Tome-shi,38.675532,141.189104,0
277,4,04213,栗原市,Kurihara-shi,38.806727,141.072858,0
278,4,04214,東松島市,Higashimatsushima-shi,38.370763,141.146055,0
279,4,04215,大崎市,Osaki-shi,38.586634,140.949843,0
280,4,04216,富谷市,Tomiya-shi,38.365783,140.871837,0
281,4,04301,刈田郡蔵王町,Katta-gun Zao-machi,38.123418,140.574411,0
282,4,04302,刈田郡七ヶ宿町,Katta-gun Shichikashuku-machi,37.990074,140.446908,0
283,4,04321,柴田郡大河原町,Shibata-gun Ogawara-machi,38.06153,140.724664,0
284,4,04322,柴田郡村田町,Shibata-gun Murata-machi,38.090371,140.721338,0
285,4,04323,柴田郡柴田町,Shibata-gun Shibata-machi,38.048646,140.782276,0
286,4,04324,柴田郡川崎町,Shibata-gun Kawasaki-machi,38.145949,140.533676,0
287,4,04341,伊具郡丸森町,Igu-gun Marumori-machi,37.913637,140.764278,0
288,4,04361,亘理郡亘理町,Watari-gun Watari-cho,38.039208,140.864107,0
289,4,04362,亘理郡山元町,Watari-gun Yamamoto-cho,37.994795,140.85954,0
290,4,04401,宮城郡松島町,Miyagi-gun Matsushima-machi,38.38788,141.079564,0
291,4,04404,宮城郡七ヶ浜町,Miyagi-gun Shichigahama-machi,38.286797,141.047009,0
292,4,04406,宮城郡利府町,Miyagi-gun Rifu-cho,38.33259,140.97026,0
293,4,04421,黒川郡大和町,Kurokawa-gun Taiwa-cho,38.434658,140.915172,0
294,4,04422,黒川郡大郷町,Kurokawa-gun Osato-cho,38.426324,140.982149,0
295,4,04424,黒川郡大衡村,Kurokawa-gun Ohira-mura,38.46937,140.901068,0
296,4,04444,加美郡色麻町,Kami-gun Shikama-cho,38.560895,140.830315,0
297,4,04445,加美郡加美町,Kami-gun Kami-machi,38.574983,140.850804,0
298,4,04501,遠田郡涌谷町,Toda-gun Wakuya-cho,38.535518,141.138611,0
299,4,04505,遠田郡美里町,Toda-gun Misato-machi,38.538414,141.068609,0
300,4,04581,牡鹿郡女川町,Oshika-gun Onagawa-cho,38.441009,141.442969,0
301,4,04606,本吉郡南三陸町,Motoyoshi-gun Minamisanriku-cho,38.634149,141.44523,0
302,5,05201,秋田市,Akita-shi,39.743039,140.128123,0
303,5,05202,能代市,Noshiro-shi,40.200323,140.019083,0
304,5,05203,横手市,Yokote-shi,39.324108,140.526776,0
305,5,05204,大館市,Odate-shi,40.261354,140.559336,0
306,5,05206,男鹿市,Oga-shi,39.981958,139.871828,0
307,5,05207,湯沢市,Yuzawa-shi,39.086976,140.500311,0
308,5,05209,鹿角市,Kazuno-shi,40.179767,140.741629,0
309,5,05210,由利本荘市,Yurihonjo-shi,39.410605,140.145923,0
310,5,05211,潟上市,Katagami-shi,39.898089,140.077104,0
311,5,05212,大仙市,Daisen-shi,39.542555,140.371977,0
312,5,05213,北秋田市,Kitaakita-shi,40.227134,140.373386,0
313,5,05214,にかほ市,Nikaho-shi,39.219524,139.998029,0
314,5,05215,仙北市,Semboku-shi,39.593981,140.576616,0
315,5,05303,鹿角郡小坂町,Kazuno-gun Kosaka-machi,40.300628,140.760426,0
